Rank,Name,Association,Rcellc,PID
306,WONG Qi Shen,MAS,33,136377
307,URSU Vladislav,MDA,33,122320
308,VALUCH Alexander,SVK,33,115100
309,PICCOLIN Jordy,ITA,31,117006
310,PINTO Daniele,ITA,31,118920
311,HENCL Ivan,CRO,31,145421
312,PEREZ Adrian,CUB,30,136779
313,CLOUET Olivier,NCL,30,206277
314,MARTINEZ Livan,CUB,30,121440
315,HU Dongshen,CHN,30,145550
316,DE Leo NODREST,FRA,30,123305
317,STOLL Loic,SUI,30,137037
318,DESCHAMPS Hugo,FRA,30,134590
319,HO Jeongmun,KOR,30,144824
320,BIRRIEL Oscar,PUR,30,137175
321,ANTHONY Amalraj,IND,29,100001
322,ISHIDA Carlos,BRA,29,124527
323,VILCHEZ Miguel,ESP,29,116213
324,GILLES Sohan,FRA,29,145759
325,SISANOVAS Ignas,LTU,29,135572
326,CAMARA Gabrielius,NED,29,134556
327,HRIBAR Peter,SLO,29,120162
328,VALLINO Federico,ITA,28,133415
329,FASO Danilo,ITA,27,143942
330,VOVK Brin,SLO,26,145277
331,KIM Minwoo,KOR,26,136474
332,LEVAJAC Dimitrije,SRB,26,123192
333,TANVIRIYAVECHAKUL Padasak,THA,25,115866
334,CARVALHO Diogo,POR,25,101514
335,AVILA Andres,MEX,25,113875
336,NDOA Marie,CMR,25,144778
337,EBODE Simon,CMR,25,102441
338,MORAVEK Radim,CZE,25,135575
339,TSUBOI Gustavo,BRA,25,109581
340,ROBAYO Joshua,ECU,25,200730
341,MARTINEZ Jeison,CRC,25,111498
342,MAJOROS Bence,HUN,25,114860
343,HAGIHARA Keishi,JPN,25,200664
344,NATHOO Chetan,RSA,25,131478
345,CASSULE Delcio,ANG,25,209114
346,SUN Yang,CHN,25,203029
347,OCAL Gorkem,TUR,25,201124
348,PUPPO Andrea,ITA,25,122086
349,ZHUBANOV Sanzhar,KAZ,25,137569
350,CHAMBET-WEIL Remi,NED,25,136097
351,LIN CHENG Wen-Che,TPE,24,209185
352,RIOS Carlos,VEN,24,200361
353,VERA Gonzalo,PER,24,145872
354,SUZUKI Hayate,JPN,24,135627
355,TAULER Norbert,ESP,24,131722
356,KHARKI Iskender,KAZ,24,134398
357,BHATTACHARYYA Priyanuj,IND,24,200301
358,OLAVE Alfonso,CHI,24,115134
359,ERIKSSON Anders,SWE,23,116846
360,LONG Yu,CHN,23,211410
361,NAVAS Marco,VEN,23,106600
362,PIGUAVE Diego,ECU,23,136416
363,SEO Jungwon,KOR,23,119694
364,HODINA Petr,AUT,23,146262
365,CHOONG Javen,MAS,23,131932
366,SOMAIYA Chinmaya,IND,22,134798
367,NOBAKHT Naeim,IRI,22,121935
368,LIU Zhenlong,AUT,22,137212
369,BRHEL Stepan,CZE,22,135984
370,LI Enci,CHN,21,211408
371,ABDULWAHHAB Mohammed,QAT,21,131156
372,VIGNEAULT Laurent,CAN,21,145823
373,ISKANDAROV Shokhrukh,UZB,21,146293
374,BESNIER Celian,FRA,21,137632
375,TAN Nicholas,SGP,21,144490
376,BLANCO Carlos,PER,20,146050
377,RASHED Rashed,BRN,20,116742
378,MODI Jash,IND,20,134869
379,ONO Daito,JPN,20,206575
380,CARRILLO Sergio,GUA,20,122862
381,VAN Mael DESSEL,LUX,20,136399
382,GUNDUZ Ibrahim,TUR,20,120168
383,VALENTA Jan,CZE,20,123664
384,KWAK Yu Bin,KOR,20,132696
385,LIU Dingshuo,CHN,19,121408
386,MUSTAPHA Mustapha,NGR,19,137012
387,ABDULLAHI Abdulrahaman,NGR,19,123121
388,YEBOAH Michael,GHA,19,209663
389,URIBE Santiago,PER,19,146047
390,BU Abdulaziz SHULAYBI,KSA,19,115118
391,SABHI Myshaal,TUN,19,133379
392,SHETTY Sanil,IND,19,108574
393,RUBINOS Adrian,PER,19,137305
394,ALKHADRAWI Ali,KSA,19,113376
395,BELIK Simon,CZE,19,132995
396,FLORO Damian,SVK,19,200073
397,RAZAFINDRALAMBO Zo,MAD,18,117019
398,SEBATINDIRA Joseph,UGA,18,205403
399,UEDA Jin,JPN,18,110730
400,DYJAS Jakub,POL,18,113931
401,GUPTA Akash,IND,18,207584
402,LEE Dongheon,KOR,18,137156
403,TOVAR Jesus,VEN,18,200599
404,LOVHA Mykhailo,SVK,18,145782
405,AL-KUWARI Sultan,QAT,18,135386
406,ZALEWSKI Mateusz,POL,18,135021
407,RZIHAUSCHEK Julian,AUT,18,137885
408,SHETH Ved,USA,17,134486
409,ORANTES Diego,ESA,17,135041
410,MA Yeongmin,KOR,17,202356
411,CHAIEB Firas,TUN,17,146154
412,SAMUOLIS Dominykas,DEN,17,137713
413,ALNASER Rawad,QAT,17,135383
414,BAE Won,AUS,17,134802
415,PINO Jonathan,VEN,16,107434
416,GRANADILLO Rafael,VEN,16,103230
417,PINO Davis,VEN,16,211738
418,DIAZ Wilfan,VEN,16,211760
419,LOPEZ Francisco,VEN,16,90051
420,BIREBA Kalab Maregn,ETH,16,134992
421,HABTEYES Melese,ETH,16,118723
422,CASTILLO Cesar Augusto AROCHA,VEN,16,146225
423,MEDINA Raymondo Jose BLANCO,VEN,16,200446
424,JOUSHI Shridhar,IND,16,207860
425,JEONG Yeonghun,KOR,16,208351
426,ALSHAREIF Khalid,KSA,16,132081
427,HSIAO Tzu-Jui,TPE,16,137256
428,SHAMS Hamid,IRI,16,121939
429,BEDOYA Sebastian,COL,16,200415
430,REBETEZ Yoan,SUI,16,131845
431,MASSART Alessi,BEL,16,133596
432,LAMBIET Florent,BEL,16,114709
433,ZAKHAROV Vladislav,KAZ,16,121416
434,FORMELA Rafal,POL,16,200603
435,CLOSSET Tom,BEL,16,134817
436,PARMAR Dhairya,IND,15,134877
437,NDZELEN Maxwell,CMR,15,209917
438,NDZELEN Maxsmith,CMR,15,209918
439,GUO Jeffrey,AUS,15,201387
440,PINO David Abraham HERNANDEZ,VEN,15,200632
441,TANDO Brijack,CGO,15,206402
442,CHAN Chi In,MAC,15,207488
443,STAMATOUROS Georgios,GRE,15,123514
444,ZOMBO Junior,COD,15,110641
445,MATSUDAIRA Kenji,JPN,15,111033
446,MALOKA Bakang,BOT,15,123776
447,FABIANO Roberto,ANG,15,209115
448,AVILES Sebastian,CRC,15,202200
449,LOVO Axel Emmanuel ALVAREZ,MEX,15,146201
450,AKAKPO Kossi,TOG,15,133506
451,ASSOU Atarou,TOG,15,133661
452,BEUKES Liam,RSA,15,202641
453,MANUEL Domingos,ANG,15,110929
454,MORALES Ian,GUA,15,200021
455,BENCHAT Marius,MAR,15,137625
456,ROMANSKI Lucas,BRA,15,204515
457,GUBRAN Ebrahim,YEM,15,135910
458,PODOBNIK Miha,SLO,15,133427
459,ZAVADA Mykyta,UKR,15,136756
460,LI Hon Ming,HKG,15,115548
461,PETEK Borna,CRO,15,133439
462,LODEWYK Cuten,RSA,14,206095
463,LIU Alex CAO,NZL,14,137661
464,BERBEN Barry,NED,14,134814
465,AMATO Antonino,ITA,14,122067
466,LIN Xuqi,AUS,14,134805
467,YANG Tzu-Yi,TPE,14,121588
468,LIMONOV Anton,UKR,14,124147
469,KENZHIGULOV Dastan,KAZ,14,123230
470,CHOI Inhyeok,KOR,13,132171
471,SALEH Mohamed,BRN,13,112030
472,SHAFFAN Mohamed,MDV,13,134910
473,NIE Chulong,AUS,13,136657
474,HUNG Che-Yen,TPE,13,205967
475,MAINI Sudhanshu,IND,13,200235
476,CHEN Yi-Teng,TPE,13,205797
477,AL Muhannad BALUSHI,OMA,13,132462
478,CHO Kijeong,KOR,13,131924
479,KURMAMBAYEV Sagantay,KAZ,13,137409
480,VELICHKOV Yoan,BUL,13,200291
481,SU Yu-Lun,TPE,13,146276
482,NOIRAULT Antoine,FRA,13,146241
483,GOHAIN Agniv,IND,12,135513
484,RASMUSSEN Tobias,DEN,12,118671
485,BAEK Hogyun,KOR,12,133717
486,CARRERA Francesc,ESP,12,200039
487,BACK Donghoon,KOR,12,137006
488,SURESH Preyesh,IND,12,134934
489,PAU Yik Man,HKG,12,132312
490,CHOY Chun Kit,HKG,12,132310
491,RUIZ Romain,FRA,12,116641
492,KALEGOWDA Aakash,IND,12,135200
493,RAJASEKARAN Balamurugan,IND,12,201371
494,BERTOLO Axel,PAR,12,134720
495,YAMANE Hamilton,BRA,12,146021
496,TAI Po-Chun,TPE,12,137062
497,VEPA Chaitanya,SUI,12,143671
498,PILARD Nathan,FRA,12,146233
499,TREVISAN Francesco,ITA,11,143934
500,BJORKRYD David,SWE,11,133395
501,KARNAVAR Arnav,IND,11,136137
502,TRAN Daniel,USA,11,135691
503,KHALOUFI Adem,TUN,11,136169
504,TAPIA Rodrigo,ECU,11,113536
505,MATI Taiwo,NGR,11,133736
506,ABDULWAHHAB Abdullah,QAT,11,144667
